단축코드,표준코드,한글명,그룹코드,시가총액규모,지수업종대분류,지수업종중분류,지수업종소분류,벤처기업,저유동성,KRX,ETP,KRX100,KRX자동차,KRX반도체,KRX바이오,KRX은행,SPAC,KRX에너지화학,KRX철강,단기과열,KRX미디어통신,KRX건설,투자주의,KRX증권,KRX선박,KRX섹터_보험,KRX섹터_운송,KOSDAQ150,기준가,매매수량단위,시간외수량단위,거래정지,정리매매,관리종목,시장경고,경고예고,불성실공시,우회상장,락구분,액면변경,증자구분,증거금비율,신용가능,신용기간,전일거래량,액면가,상장일자,상장주수,자본금,결산월,공모가,우선주,공매도과열,이상급등,KRX300,매출액,영업이익,경상이익,당기순이익,ROE,기준년월,시가총액,그룹사코드,회사신용한도초과,담보대출가능,대주가능
000250,KR7000250001,삼천당제약,ST,1.0,0,1009,1024,N,N,Y,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,Y,139100,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,447440,500,20001004,23457,11728736000,12,,0,,N,Y,1033,40,72,41,1,20240630.0,32629,,N,N,N
000440,KR7000440008,중앙에너비스,ST,3.0,0,1011,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,21100,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,108261,500,19930324,6227,3113565000,12,,0,,N,N,230,-15,-13,-13,-5,20240630.0,1313,,N,N,N
001000,KR7001000009,신라섬유,ST,3.0,1006,0,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,1129,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,393418,100,19940628,24277,2427754000,12,,0,,N,N,38,4,-4,-7,-4,20231231.0,274,,N,N,N
001540,KR7001540004,안국약품,ST,3.0,0,1009,1024,N,N,Y,,N,N,N,Y,N,N,N,N,0,N,N,N,N,N,N,N,N,7270,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,15438,500,20000615,13042,6521210000,12,,0,,N,N,1329,47,224,174,22,20240630.0,948,,N,N,N
001810,KR7001810001,무림SP,ST,3.0,0,1009,1021,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,1711,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,6814,500,20000104,22137,11068750000,12,,0,,N,N,882,10,48,41,4,20240630.0,378,,N,N,N
001840,KR7001840008,이화공영,ST,3.0,0,1010,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,2680,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,37740,500,19941123,19805,9902880000,12,,0,,N,N,1512,-11,-16,-14,-3,20231231.0,530,,N,N,N
002230,KR7002230001,피에스텍,ST,3.0,0,1009,1029,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,3940,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,869,500,19910104,19370,9834621500,12,,0,,N,N,405,23,26,22,3,20240630.0,763,,N,N,N
002290,KR7002290005,삼일기업공사,ST,3.0,0,1010,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,2900,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,7122,500,19921130,12400,6200000000,12,,0,,N,N,786,31,49,38,6,20231231.0,359,,N,N,N
002680,KR7002680007,한탑,ST,3.0,0,1009,1019,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,Y,N,N,N,N,N,713,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,41782,500,19950707,32316,16158399500,12,,0,,N,N,428,23,-15,-15,-6,20240630.0,230,,N,N,N
002800,KR7002800001,신신제약,ST,3.0,0,1009,1024,,N,N,,N,,,,,N,,,0,,,N,,,,,N,6800,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,480133,500,20170228,15170,7585250000,12,,0,,N,N,542,39,33,31,10,20240630.0,1031,,N,N,N
003100,KR7003100005,선광,ST,3.0,0,1013,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,16100,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,4713,1000,19991221,6600,6600000000,12,,0,,N,N,915,169,172,138,8,20240630.0,1062,,N,N,N
003310,KR7003310000,대주산업,ST,3.0,0,1009,1019,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,1371,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,27518,500,19920801,35392,18696175000,12,,0,,N,N,528,42,34,38,10,20240630.0,485,,N,N,N
003380,KR7003380003,하림지주,ST,1.0,0,1014,0,,N,Y,,N,,,,,N,,,0,,,N,,,,,Y,5290,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,206825,100,20170630,112005,11242047800,12,,0,,N,Y,57643,3748,685,484,-1,20240630.0,5925,HRM,N,N,N
