단축코드,표준코드,한글명,그룹코드,시가총액규모,지수업종대분류,지수업종중분류,지수업종소분류,제조업,저유동성,지배구조지수종목,KOSPI200섹터업종,KOSPI100,KOSPI50,KRX,ETP,ELW발행,KRX100,KRX자동차,KRX반도체,KRX바이오,KRX은행,SPAC,KRX에너지화학,KRX철강,단기과열,KRX미디어통신,KRX건설,Non1,KRX증권,KRX선박,KRX섹터_보험,KRX섹터_운송,SRI,기준가,매매수량단위,시간외수량단위,거래정지,정리매매,관리종목,시장경고,경고예고,불성실공시,우회상장,락구분,액면변경,증자구분,증거금비율,신용가능,신용기간,전일거래량,액면가,상장일자,상장주수,자본금,결산월,공모가,우선주,공매도과열,이상급등,KRX300,KOSPI,매출액,영업이익,경상이익,당기순이익,ROE,기준년월,시가총액,그룹사코드,회사신용한도초과,담보대출가능,대주가능
000020,KR7000020008,동화약품,ST,3.0,0,9,0,Y,N,N,0,N,N,Y,,N,N,N,N,Y,N,N,N,N,0,N,N,N,N,N,N,N,N,7950,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,58840,1000,19760324,27931,27931470000,12.0,,0,,N,N,Y,2340,112,97,60,3.49,20240630.0,2220,,N,N,N
000040,KR7000040006,KR모터스,ST,3.0,0,15,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,588,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,230803,500,19760525,60132,30066434000,12.0,,0,,N,N,Y,336,-80,-106,-106,-59.34,20240630.0,353,,N,N,N
000050,KR7000050005,경방,ST,3.0,0,16,0,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,6300,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,8183,500,19560303,27415,13707635000,12.0,,0,,N,N,Y,1930,134,71,46,1.25,20240630.0,1727,,N,N,N
000070,KR7000070003,삼양홀딩스,ST,2.0,0,21,0,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,81500,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,37131,5000,19681227,8564,42821355000,12.0,,0,,N,N,Y,17885,899,1072,839,4.5,20240630.0,6979,,N,N,N
000075,KR7000071001,삼양홀딩스우,ST,0.0,0,21,0,N,Y,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,56500,1,1,N,N,Y,0,N,N,N,0,0,0,100,N,90,2322,5000,19920221,304,1520290000,12.0,,1,,N,N,N,0,0,0,0,0.0,,171,,N,N,N
000080,KR7000080002,하이트진로,ST,2.0,0,5,0,Y,N,N,7,N,N,Y,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,20300,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,305370,5000,20091019,70133,363168055000,12.0,,0,,N,Y,Y,12864,1166,973,700,12.74,20240630.0,14237,,N,N,N
000087,KR7000082008,하이트진로2우B,ST,0.0,0,5,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,16170,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,2266,5000,20110926,1130,5650690000,12.0,,2,,N,N,N,0,0,0,0,0.0,,182,,N,N,N
000100,KR7000100008,유한양행,ST,1.0,0,9,0,Y,N,N,A,Y,N,Y,,Y,Y,N,N,Y,N,N,N,N,0,N,N,N,N,N,N,N,N,145400,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,14190268,1000,19621101,80209,80209064000,12.0,,0,,N,Y,Y,9729,191,541,427,4.37,20240630.0,116623,,N,N,N
000105,KR7000101006,유한양행우,ST,0.0,0,9,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,157600,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,725570,1000,19950221,1180,1180940000,12.0,,1,,N,N,N,0,0,0,0,0.0,,1861,,N,N,N
000120,KR7000120006,CJ대한통운,ST,2.0,0,19,0,N,N,N,9,N,N,Y,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,Y,Y,96700,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,113030,5000,19560702,22812,114061720000,12.0,,0,,N,Y,Y,59806,2347,1602,1167,5.72,20240630.0,22059,720,N,N,N
000140,KR7000140004,하이트진로홀딩스,ST,3.0,0,21,0,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,9390,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,6656,5000,19730919,23206,116033825000,12.0,,0,,N,N,Y,12800,1243,898,618,10.52,20240630.0,2179,,N,N,N
